score, time
very_large_n
4491.333333333333, 0.13649900001473725
55657, 0.1999096666307499
3866, 0.10733686666935682
very_large_wmax
2231.6666666666665, 0.02581669995561242
3795.3333333333335, 0.27035023330245167
2638.3333333333335, 0.6080883999820799
very_large_n_and_wmax
4651.666666666667, 0.15770709999681762
3870, 0.14098806667607278
5080.666666666667, 0.11760530003812164
very_large_valued_V
6272.666666666667, 0.13713723335725567
32391.666666666668, 0.6575837000273168
6180.666666666667, 0.10707666666712612
very_large_valued_W
977584, 10.40533510001842
1001854, 0.15002603336082151
625329.6666666666, 1.0651611666738365
very_large_valued_V_and_W
860122, 0.33829399997678894
752230.3333333334, 4.148110699995111
640108.3333333334, 0.1663692999863997
